,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
39,40,Blonde Eckbert,Tieck,1773,Kunstepoche,Novelle,epik,1797,Tieck_BlondeEckbert.txt,https://www.projekt-gutenberg.org/tieck/eckbert/Kapitel1.html,,6708
75,76,Julchen Grünthal ,Unger,1741,Aufklaerung,Roman,epik,1798,Unger_JulchenGruenthal.txt,"http://www.zeno.org/Literatur/M/Unger,+Friederike+Helene/Romane",,103424
76,77,Albert und Albertine ,Unger,1741,Aufklaerung,Roman,epik,1804,Unger_AlbertUndAlbertine.txt,"http://www.zeno.org/Literatur/M/Unger,+Friederike+Helene/Romane",,47547
77,78,Bekenntnisse einer schönen Seele,Unger,1741,Aufklaerung,Roman,epik,1806,Unger_BekenntnisseEinerSchoenenSeele.txt,"http://www.zeno.org/Literatur/M/Unger,+Friederike+Helene/Romane",,51241
104,105,Florentin,Veit,1764,Aufklaerung,Roman,epik,1801,Veit_Florentin.txt,https://www.projekt-gutenberg.org/autoren/namen/schlegld.html,,59904
105,106,Geschichte des Zauberers Merlin,Veit,1764,Aufklaerung,Roman,epik,1804,Veit_ZaubererMerlin.txt,https://www.projekt-gutenberg.org/autoren/namen/schlegld.html,,48756
30,31,Rinaldo Rinaldini,Vulpius,1762,Aufklaerung,Roman,epik,1799,Vulpius_RinaldoRinaldini.txt,https://www.projekt-gutenberg.org/vulpius/rinaldo/index.html,,153702
7,8,Lebensgeschichte Tobias Knauts,Wezel,1747,Aufklaerung,Roman,epik,1777,Wezel_Knauts.txt,https://www.projekt-gutenberg.org/wezel/knaut/knaut.html,,182054
8,9,Hermann und Ulrike,Wezel,1747,Aufklaerung,Roman,epik,,Wezel_HerrmannUlrike.txt,"http://www.zeno.org/Literatur/M/Wezel,+Johann+Karl/Romane/Hermann+und+Ulrike",,270911
9,10,Belphegor,Wezel,1747,Aufklaerung,Roman,epik,1776,Wezel_Belphegor.txt,"http://www.zeno.org/Literatur/M/Wezel,+Johann+Karl/Romane/Belphegor",,97923
2,3,Der Sieg der Natur über die Schwärmerei oder die Abenteuer des Don Sylvio von Rosalva,Wieland,1733,Aufklaerung,Roman,epik,1764,Wieland_DonSylvio.txt,"http://www.zeno.org/Literatur/M/Wieland,+Christoph+Martin/Romane/Die+Abenteuer+des+Don+Sylvio+von+Rosalva",,130320
3,4,Geschichten des Agathon,Wieland,1733,Aufklaerung,Roman,epik,1766,Wieland_Agathon.txt,https://www.projekt-gutenberg.org/wieland/agathon/agathon.html,,167283
4,5,Der goldne Spiegel oder die Könige von Scheschian,Wieland,1733,Aufklaerung,Roman,epik,1772,Wieland_GoldneSpiegel.txt,https://www.projekt-gutenberg.org/wieland/spiegel/spiegel.html,,115350
5,6,Geschichte der Abderiten,Wieland,1733,Aufklaerung,Roman,epik,1780,Wieland_Abderiten.txt,https://www.projekt-gutenberg.org/wieland/abdera/index.html,,111828
13,14,Peregrins Proteus,Wieland,1733,Aufklaerung,Roman,epik,1791,Wieland_PeregrinusProteus.txt,https://www.projekt-gutenberg.org/wieland/peregrin/peregrin.html,,97320
14,15,Agathodämon,Wieland,1733,Aufklaerung,Roman,epik,1799,Wieland_Agathodaemon.txt,https://www.projekt-gutenberg.org/wieland/agathod/agathodm.html,,84926
15,16,Aristipp und einige seiner Zeitgenossen,Wieland,1733,Aufklaerung,Roman,epik,1801,Wieland_Aristipp.txt,https://www.projekt-gutenberg.org/wieland/aristipp/aristipp.html,,294602
