,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
282,283,Das Haus der Temperamente,Nestroy,1801,Kunstepoche,Comedy,drama,1837,nestroy-das-haus-der-temperamente.xml,https://github.com/dracor-org/gerdracor,,34159
283,284,Leonce und Lena,Büchner,1813,Kunstepoche,Comedy,drama,1838,buechner-leonce-und-lena.xml,https://github.com/dracor-org/gerdracor,,10143
284,285,Die Hermannsschlacht,Grabbe,1801,Kunstepoche,,drama,1838,grabbe-die-hermannsschlacht.xml,https://github.com/dracor-org/gerdracor,,19095
285,286,"Weh dem, der lügt!",Grillparzer,1791,Kunstepoche,Comedy,drama,1838,grillparzer-weh-dem-der-luegt.xml,https://github.com/dracor-org/gerdracor,,21117
286,287,Das bemooste Haupt oder Der lange Israël,Benedix,1811,Kunstepoche,,drama,1839,benedix-das-bemooste-haupt.xml,https://github.com/dracor-org/gerdracor,,20151
287,288,Richard Savage oder Der Sohn einer Mutter,Gutzkow,1811,Kunstepoche,Tragedy,drama,1839,gutzkow-richard-savage.xml,https://github.com/dracor-org/gerdracor,,23177
288,289,Faust,Wolfram,1807,Kunstepoche,,drama,1839,wolfram-faust.xml,https://github.com/dracor-org/gerdracor,,37756
289,290,"Perdu! oder Dichter, Verleger und Blaustrümpfe",Droste-Hülshoff,1797,Kunstepoche,Comedy,drama,1840,droste-huelshoff-perdu.xml,https://github.com/dracor-org/gerdracor,,17594
290,291,Judith,Hebbel,1813,Kunstepoche,Tragedy,drama,1840,hebbel-judith.xml,https://github.com/dracor-org/gerdracor,,25218
291,292,Monaldeschi,Laube,1806,Kunstepoche,Tragedy,drama,1841,laube-monaldeschi.xml,https://github.com/dracor-org/gerdracor,,46129
292,293,Das Mädl aus der Vorstadt oder Ehrlich währt am längsten,Nestroy,1801,Kunstepoche,Comedy,drama,1841,nestroy-das-maedl-aus-der-vorstadt.xml,https://github.com/dracor-org/gerdracor,,23932
293,294,Datterich,Niebergall,1815,Kunstepoche,Comedy,drama,1841,niebergall-datterich.xml,https://github.com/dracor-org/gerdracor,,21846
294,295,Industrie und Herz,Bauernfeld,1802,Kunstepoche,Comedy,drama,1842,bauernfeld-industrie-und-herz.xml,https://github.com/dracor-org/gerdracor,,17463
295,296,Doctor Wespe,Benedix,1811,Kunstepoche,Comedy,drama,1842,benedix-doctor-wespe.xml,https://github.com/dracor-org/gerdracor,,27028
296,297,Der Sohn der Wildnis,Halm,1806,Kunstepoche,,drama,1842,halm-der-sohn-der-wildnis.xml,https://github.com/dracor-org/gerdracor,,24615
297,298,Der Wildschütz oder Die Stimme der Natur,Lortzing,1801,Kunstepoche,,drama,1842,lortzing-der-wildschuetz.xml,https://github.com/dracor-org/gerdracor,,21661
298,299,Einen Jux will er sich machen,Nestroy,1801,Kunstepoche,Comedy,drama,1842,nestroy-einen-jux-will-er-sich-machen.xml,https://github.com/dracor-org/gerdracor,,24842
299,300,Das Incognito oder Die mehreren Könige oder Alt und Neu,Eichendorff,1788,Kunstepoche,,drama,1843,eichendorff-das-incognito.xml,https://github.com/dracor-org/gerdracor,,7257
300,301,Genoveva,Hebbel,1813,Kunstepoche,Tragedy,drama,1843,hebbel-genoveva.xml,https://github.com/dracor-org/gerdracor,,38703
301,302,Der Talisman,Nestroy,1801,Kunstepoche,Comedy,drama,1843,nestroy-der-talisman.xml,https://github.com/dracor-org/gerdracor,,23310
